
# azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance[W/m2]
2.5, 2.5, 0.001210496427050808, 0.043577871, 0.998097349, 0.043619387, 0.2788022643160626
7.5, 2.5, 0.001210496427050808, 0.13040196, 0.990501226, 0.043619387, 0.28162769456703984
12.5, 2.5, 0.001210496427050808, 0.216233611, 0.97536679, 0.043619387, 0.2847041161106552
17.5, 2.5, 0.001210496427050808, 0.300419594, 0.952809224, 0.043619387, 0.28791832220616775
22.5, 2.5, 0.001210496427050808, 0.382319203, 0.923000204, 0.043619387, 0.2911546741471375
27.5, 2.5, 0.001210496427050808, 0.461309131, 0.886166595, 0.043619387, 0.2942986674226465
32.5, 2.5, 0.001210496427050808, 0.536788218, 0.842588724, 0.043619387, 0.29724046165108337
37.5, 2.5, 0.001210496427050808, 0.608182023, 0.792598244, 0.043619387, 0.2998782662115865
42.5, 2.5, 0.001210496427050808, 0.674947195, 0.736575612, 0.043619387, 0.3021214775861725
47.5, 2.5, 0.001210496427050808, 0.736575612, 0.674947195, 0.043619387, 0.3038934718712744
52.5, 2.5, 0.001210496427050808, 0.792598244, 0.608182023, 0.043619387, 0.30513396643795093
57.5, 2.5, 0.001210496427050808, 0.842588724, 0.536788218, 0.043619387, 0.30580087795155614
62.5, 2.5, 0.001210496427050808, 0.886166595, 0.461309131, 0.043619387, 0.30587161946914004
67.5, 2.5, 0.001210496427050808, 0.923000204, 0.382319203, 0.043619387, 0.3053437966213036
72.5, 2.5, 0.001210496427050808, 0.952809224, 0.300419594, 0.043619387, 0.30423528141238765
77.5, 2.5, 0.001210496427050808, 0.97536679, 0.216233611, 0.043619387, 0.3025836613634172
82.5, 2.5, 0.001210496427050808, 0.990501226, 0.13040196, 0.043619387, 0.3004450809830268
87.5, 2.5, 0.001210496427050808, 0.998097349, 0.043577871, 0.043619387, 0.29789251128765926
92.5, 2.5, 0.001210496427050808, 0.998097349, -0.043577871, 0.043619387, 0.29501350072273547
97.5, 2.5, 0.001210496427050808, 0.990501226, -0.13040196, 0.043619387, 0.2919074768098703
102.5, 2.5, 0.001210496427050808, 0.97536679, -0.216233611, 0.043619387, 0.28868268165422534
107.5, 2.5, 0.001210496427050808, 0.952809224, -0.300419594, 0.043619387, 0.28545283564054746
112.5, 2.5, 0.001210496427050808, 0.923000204, -0.382319203, 0.043619387, 0.2823336318447826
117.5, 2.5, 0.001210496427050808, 0.886166595, -0.461309131, 0.043619387, 0.27943916858759255
122.5, 2.5, 0.001210496427050808, 0.842588724, -0.536788218, 0.043619387, 0.2768784289417144
127.5, 2.5, 0.001210496427050808, 0.792598244, -0.608182023, 0.043619387, 0.2747519137591612
132.5, 2.5, 0.001210496427050808, 0.736575612, -0.674947195, 0.043619387, 0.2731485288971241
137.5, 2.5, 0.001210496427050808, 0.674947195, -0.736575612, 0.043619387, 0.27214281790635175
142.5, 2.5, 0.001210496427050808, 0.608182023, -0.792598244, 0.043619387, 0.2717926187596042
147.5, 2.5, 0.001210496427050808, 0.536788218, -0.842588724, 0.043619387, 0.2721372076695995
152.5, 2.5, 0.001210496427050808, 0.461309131, -0.886166595, 0.043619387, 0.27319597531298095
157.5, 2.5, 0.001210496427050808, 0.382319203, -0.923000204, 0.043619387, 0.2749676617240012
162.5, 2.5, 0.001210496427050808, 0.300419594, -0.952809224, 0.043619387, 0.2774301569118995
167.5, 2.5, 0.001210496427050808, 0.216233611, -0.97536679, 0.043619387, 0.28054085633159964
172.5, 2.5, 0.001210496427050808, 0.13040196, -0.990501226, 0.043619387, 0.28423754535699136
177.5, 2.5, 0.001210496427050808, 0.043577871, -0.998097349, 0.043619387, 0.2884397765745881
182.5, 2.5, 0.001210496427050808, -0.043577871, -0.998097349, 0.043619387, 0.2930506994639485
187.5, 2.5, 0.001210496427050808, -0.13040196, -0.990501226, 0.043619387, 0.2979593045280034
192.5, 2.5, 0.001210496427050808, -0.216233611, -0.97536679, 0.043619387, 0.3030430524686044
197.5, 2.5, 0.001210496427050808, -0.300419594, -0.952809224, 0.043619387, 0.30817087087377243
202.5, 2.5, 0.001210496427050808, -0.382319203, -0.923000204, 0.043619387, 0.3132065110985268
207.5, 2.5, 0.001210496427050808, -0.461309131, -0.886166595, 0.043619387, 0.31801225963757096
212.5, 2.5, 0.001210496427050808, -0.536788218, -0.842588724, 0.043619387, 0.3224529837841771
217.5, 2.5, 0.001210496427050808, -0.608182023, -0.792598244, 0.043619387, 0.32640045513971966
222.5, 2.5, 0.001210496427050808, -0.674947195, -0.736575612, 0.043619387, 0.3297378360779233
227.5, 2.5, 0.001210496427050808, -0.736575612, -0.674947195, 0.043619387, 0.332364140929653
232.5, 2.5, 0.001210496427050808, -0.792598244, -0.608182023, 0.043619387, 0.3341984113662435
237.5, 2.5, 0.001210496427050808, -0.842588724, -0.536788218, 0.043619387, 0.3351832960097453
242.5, 2.5, 0.001210496427050808, -0.886166595, -0.461309131, 0.043619387, 0.33528771900290655
247.5, 2.5, 0.001210496427050808, -0.923000204, -0.382319203, 0.043619387, 0.33450837378905046
252.5, 2.5, 0.001210496427050808, -0.952809224, -0.300419594, 0.043619387, 0.3328698840726075
257.5, 2.5, 0.001210496427050808, -0.97536679, -0.216233611, 0.043619387, 0.3304236144948705
262.5, 2.5, 0.001210496427050808, -0.990501226, -0.13040196, 0.043619387, 0.3272452580721028
267.5, 2.5, 0.001210496427050808, -0.998097349, -0.043577871, 0.043619387, 0.3234314436713149
272.5, 2.5, 0.001210496427050808, -0.998097349, 0.043577871, 0.043619387, 0.3190956719595972
277.5, 2.5, 0.001210496427050808, -0.990501226, 0.13040196, 0.043619387, 0.3143638956905904
