
# azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance[W/m2]
2.5, 2.5, 0.001210496427050808, 0.043577871, 0.998097349, 0.043619387, 0.2815180800567234
7.5, 2.5, 0.001210496427050808, 0.13040196, 0.990501226, 0.043619387, 0.28323811580821084
12.5, 2.5, 0.001210496427050808, 0.216233611, 0.97536679, 0.043619387, 0.2848982922969159
17.5, 2.5, 0.001210496427050808, 0.300419594, 0.952809224, 0.043619387, 0.28643724846461044
22.5, 2.5, 0.001210496427050808, 0.382319203, 0.923000204, 0.043619387, 0.28779882360041015
27.5, 2.5, 0.001210496427050808, 0.461309131, 0.886166595, 0.043619387, 0.28893380910155353
32.5, 2.5, 0.001210496427050808, 0.536788218, 0.842588724, 0.043619387, 0.2898014817431383
37.5, 2.5, 0.001210496427050808, 0.608182023, 0.792598244, 0.043619387, 0.29037087157515595
42.5, 2.5, 0.001210496427050808, 0.674947195, 0.736575612, 0.043619387, 0.2906217256341699
47.5, 2.5, 0.001210496427050808, 0.736575612, 0.674947195, 0.043619387, 0.29054513794559306
52.5, 2.5, 0.001210496427050808, 0.792598244, 0.608182023, 0.043619387, 0.29014382650650955
57.5, 2.5, 0.001210496427050808, 0.842588724, 0.536788218, 0.043619387, 0.2894320487571346
62.5, 2.5, 0.001210496427050808, 0.886166595, 0.461309131, 0.043619387, 0.2884351581325718
67.5, 2.5, 0.001210496427050808, 0.923000204, 0.382319203, 0.043619387, 0.28718881528911777
72.5, 2.5, 0.001210496427050808, 0.952809224, 0.300419594, 0.043619387, 0.2857378781768788
77.5, 2.5, 0.001210496427050808, 0.97536679, 0.216233611, 0.043619387, 0.28413500495117083
82.5, 2.5, 0.001210496427050808, 0.990501226, 0.13040196, 0.043619387, 0.28243901246926884
87.5, 2.5, 0.001210496427050808, 0.998097349, 0.043577871, 0.043619387, 0.28071304052803364
92.5, 2.5, 0.001210496427050808, 0.998097349, -0.043577871, 0.043619387, 0.27902257782310963
97.5, 2.5, 0.001210496427050808, 0.990501226, -0.13040196, 0.043619387, 0.27743340966092767
102.5, 2.5, 0.001210496427050808, 0.97536679, -0.216233611, 0.043619387, 0.2760095495950154
107.5, 2.5, 0.001210496427050808, 0.952809224, -0.300419594, 0.043619387, 0.2748112173142078
112.5, 2.5, 0.001210496427050808, 0.923000204, -0.382319203, 0.043619387, 0.2738929232762513
117.5, 2.5, 0.001210496427050808, 0.886166595, -0.461309131, 0.043619387, 0.27330171682322957
122.5, 2.5, 0.001210496427050808, 0.842588724, -0.536788218, 0.043619387, 0.2730756489802239
127.5, 2.5, 0.001210496427050808, 0.792598244, -0.608182023, 0.043619387, 0.273242494051397
132.5, 2.5, 0.001210496427050808, 0.736575612, -0.674947195, 0.043619387, 0.27381876579470815
137.5, 2.5, 0.001210496427050808, 0.674947195, -0.736575612, 0.043619387, 0.2748090547598822
142.5, 2.5, 0.001210496427050808, 0.608182023, -0.792598244, 0.043619387, 0.2762057037585577
147.5, 2.5, 0.001210496427050808, 0.536788218, -0.842588724, 0.043619387, 0.2779888288823263
152.5, 2.5, 0.001210496427050808, 0.461309131, -0.886166595, 0.043619387, 0.28012668447123096
157.5, 2.5, 0.001210496427050808, 0.382319203, -0.923000204, 0.043619387, 0.2825763623769386
162.5, 2.5, 0.001210496427050808, 0.300419594, -0.952809224, 0.043619387, 0.28528480903825365
167.5, 2.5, 0.001210496427050808, 0.216233611, -0.97536679, 0.043619387, 0.2881901383494957
172.5, 2.5, 0.001210496427050808, 0.13040196, -0.990501226, 0.043619387, 0.2912232138223417
177.5, 2.5, 0.001210496427050808, 0.043577871, -0.998097349, 0.043619387, 0.2943094695669272
182.5, 2.5, 0.001210496427050808, -0.043577871, -0.998097349, 0.043619387, 0.29737093532043235
187.5, 2.5, 0.001210496427050808, -0.13040196, -0.990501226, 0.043619387, 0.3003284251766545
192.5, 2.5, 0.001210496427050808, -0.216233611, -0.97536679, 0.043619387, 0.3031038420005541
197.5, 2.5, 0.001210496427050808, -0.300419594, -0.952809224, 0.043619387, 0.30562253941336354
202.5, 2.5, 0.001210496427050808, -0.382319203, -0.923000204, 0.043619387, 0.3078156712028229
207.5, 2.5, 0.001210496427050808, -0.461309131, -0.886166595, 0.043619387, 0.3096224455933952
212.5, 2.5, 0.001210496427050808, -0.536788218, -0.842588724, 0.043619387, 0.31099219154131813
217.5, 2.5, 0.001210496427050808, -0.608182023, -0.792598244, 0.043619387, 0.3118861392169282
222.5, 2.5, 0.001210496427050808, -0.674947195, -0.736575612, 0.043619387, 0.3122788200466738
227.5, 2.5, 0.001210496427050808, -0.736575612, -0.674947195, 0.043619387, 0.31215900496800686
232.5, 2.5, 0.001210496427050808, -0.792598244, -0.608182023, 0.043619387, 0.31153012289718984
237.5, 2.5, 0.001210496427050808, -0.842588724, -0.536788218, 0.043619387, 0.31041013263106043
242.5, 2.5, 0.001210496427050808, -0.886166595, -0.461309131, 0.043619387, 0.3088308564400091
247.5, 2.5, 0.001210496427050808, -0.923000204, -0.382319203, 0.043619387, 0.30683681745755986
252.5, 2.5, 0.001210496427050808, -0.952809224, -0.300419594, 0.043619387, 0.3044836509253622
