
# azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance[W/m2]
2.5, 2.5, 0.001210496427050808, 0.043577871, 0.998097349, 0.043619387, 0
7.5, 2.5, 0.001210496427050808, 0.13040196, 0.990501226, 0.043619387, 0
12.5, 2.5, 0.001210496427050808, 0.216233611, 0.97536679, 0.043619387, 0
17.5, 2.5, 0.001210496427050808, 0.300419594, 0.952809224, 0.043619387, 0
22.5, 2.5, 0.001210496427050808, 0.382319203, 0.923000204, 0.043619387, 0
27.5, 2.5, 0.001210496427050808, 0.461309131, 0.886166595, 0.043619387, 0
32.5, 2.5, 0.001210496427050808, 0.536788218, 0.842588724, 0.043619387, 0
37.5, 2.5, 0.001210496427050808, 0.608182023, 0.792598244, 0.043619387, 0
42.5, 2.5, 0.001210496427050808, 0.674947195, 0.736575612, 0.043619387, 0
47.5, 2.5, 0.001210496427050808, 0.736575612, 0.674947195, 0.043619387, 0
52.5, 2.5, 0.001210496427050808, 0.792598244, 0.608182023, 0.043619387, 0
57.5, 2.5, 0.001210496427050808, 0.842588724, 0.536788218, 0.043619387, 0
62.5, 2.5, 0.001210496427050808, 0.886166595, 0.461309131, 0.043619387, 0
67.5, 2.5, 0.001210496427050808, 0.923000204, 0.382319203, 0.043619387, 0
72.5, 2.5, 0.001210496427050808, 0.952809224, 0.300419594, 0.043619387, 0
77.5, 2.5, 0.001210496427050808, 0.97536679, 0.216233611, 0.043619387, 0
82.5, 2.5, 0.001210496427050808, 0.990501226, 0.13040196, 0.043619387, 0
87.5, 2.5, 0.001210496427050808, 0.998097349, 0.043577871, 0.043619387, 0
92.5, 2.5, 0.001210496427050808, 0.998097349, -0.043577871, 0.043619387, 0
97.5, 2.5, 0.001210496427050808, 0.990501226, -0.13040196, 0.043619387, 0
102.5, 2.5, 0.001210496427050808, 0.97536679, -0.216233611, 0.043619387, 0
107.5, 2.5, 0.001210496427050808, 0.952809224, -0.300419594, 0.043619387, 0
112.5, 2.5, 0.001210496427050808, 0.923000204, -0.382319203, 0.043619387, 0
117.5, 2.5, 0.001210496427050808, 0.886166595, -0.461309131, 0.043619387, 0
122.5, 2.5, 0.001210496427050808, 0.842588724, -0.536788218, 0.043619387, 0
127.5, 2.5, 0.001210496427050808, 0.792598244, -0.608182023, 0.043619387, 0
132.5, 2.5, 0.001210496427050808, 0.736575612, -0.674947195, 0.043619387, 0
137.5, 2.5, 0.001210496427050808, 0.674947195, -0.736575612, 0.043619387, 0
142.5, 2.5, 0.001210496427050808, 0.608182023, -0.792598244, 0.043619387, 0
147.5, 2.5, 0.001210496427050808, 0.536788218, -0.842588724, 0.043619387, 0
152.5, 2.5, 0.001210496427050808, 0.461309131, -0.886166595, 0.043619387, 0
157.5, 2.5, 0.001210496427050808, 0.382319203, -0.923000204, 0.043619387, 0
162.5, 2.5, 0.001210496427050808, 0.300419594, -0.952809224, 0.043619387, 0
167.5, 2.5, 0.001210496427050808, 0.216233611, -0.97536679, 0.043619387, 0
172.5, 2.5, 0.001210496427050808, 0.13040196, -0.990501226, 0.043619387, 0
177.5, 2.5, 0.001210496427050808, 0.043577871, -0.998097349, 0.043619387, 0
182.5, 2.5, 0.001210496427050808, -0.043577871, -0.998097349, 0.043619387, 0
187.5, 2.5, 0.001210496427050808, -0.13040196, -0.990501226, 0.043619387, 0
192.5, 2.5, 0.001210496427050808, -0.216233611, -0.97536679, 0.043619387, 0
197.5, 2.5, 0.001210496427050808, -0.300419594, -0.952809224, 0.043619387, 0
202.5, 2.5, 0.001210496427050808, -0.382319203, -0.923000204, 0.043619387, 0
207.5, 2.5, 0.001210496427050808, -0.461309131, -0.886166595, 0.043619387, 0
212.5, 2.5, 0.001210496427050808, -0.536788218, -0.842588724, 0.043619387, 0
217.5, 2.5, 0.001210496427050808, -0.608182023, -0.792598244, 0.043619387, 0
222.5, 2.5, 0.001210496427050808, -0.674947195, -0.736575612, 0.043619387, 0
227.5, 2.5, 0.001210496427050808, -0.736575612, -0.674947195, 0.043619387, 0
232.5, 2.5, 0.001210496427050808, -0.792598244, -0.608182023, 0.043619387, 0
237.5, 2.5, 0.001210496427050808, -0.842588724, -0.536788218, 0.043619387, 0
242.5, 2.5, 0.001210496427050808, -0.886166595, -0.461309131, 0.043619387, 0
247.5, 2.5, 0.001210496427050808, -0.923000204, -0.382319203, 0.043619387, 0
252.5, 2.5, 0.001210496427050808, -0.952809224, -0.300419594, 0.043619387, 0
257.5, 2.5, 0.001210496427050808, -0.97536679, -0.216233611, 0.043619387, 0
262.5, 2.5, 0.001210496427050808, -0.990501226, -0.13040196, 0.043619387, 0
267.5, 2.5, 0.001210496427050808, -0.998097349, -0.043577871, 0.043619387, 0
272.5, 2.5, 0.001210496427050808, -0.998097349, 0.043577871, 0.043619387, 0
277.5, 2.5, 0.001210496427050808, -0.990501226, 0.13040196, 0.043619387, 0
282.5, 2.5, 0.001210496427050808, -0.97536679, 0.216233611, 0.043619387, 0
287.5, 2.5, 0.001210496427050808, -0.952809224, 0.300419594, 0.043619387, 0
292.5, 2.5, 0.001210496427050808, -0.923000204, 0.382319203, 0.043619387, 0
297.5, 2.5, 0.001210496427050808, -0.886166595, 0.461309131, 0.043619387, 0
302.5, 2.5, 0.001210496427050808, -0.842588724, 0.536788218, 0.043619387, 0
307.5, 2.5, 0.001210496427050808, -0.792598244, 0.608182023, 0.043619387, 0
312.5, 2.5, 0.001210496427050808, -0.736575612, 0.674947195, 0.043619387, 0
317.5, 2.5, 0.001210496427050808, -0.674947195, 0.736575612, 0.043619387, 0
322.5, 2.5, 0.001210496427050808, -0.608182023, 0.792598244, 0.043619387, 0
327.5, 2.5, 0.001210496427050808, -0.536788218, 0.842588724, 0.043619387, 0
332.5, 2.5, 0.001210496427050808, -0.461309131, 0.886166595, 0.043619387, 0
337.5, 2.5, 0.001210496427050808, -0.382319203, 0.923000204, 0.043619387, 0
342.5, 2.5, 0.001210496427050808, -0.300419594, 0.952809224, 0.043619387, 0
347.5, 2.5, 0.001210496427050808, -0.216233611, 0.97536679, 0.043619387, 0
352.5, 2.5, 0.001210496427050808, -0.13040196, 0.990501226, 0.043619387, 0
357.5, 2.5, 0.001210496427050808, -0.043577871, 0.998097349, 0.043619387, 0
2.53521, 7.5, 0.001218203308722143, 0.043854924, 0.990474461, 0.130526192, 0
7.60563, 7.5, 0.001218203308722143, 0.131221549, 0.982722656, 0.130526192, 0
12.67606, 7.5, 0.001218203308722143, 0.217561187, 0.967279713, 0.130526192, 0
17.74648, 7.5, 0.001218203308722143, 0.302198113, 0.944266495, 0.130526192, 0
22.8169, 7.5, 0.001218203308722143, 0.38446993, 0.913863111, 0.130526192, 0
27.88732, 7.5, 0.001218203308722143, 0.463732748, 0.87630751, 0.130526192, 0
32.95775, 7.5, 0.001218203308722143, 0.539366228, 0.831893614, 0.130526192, 0
38.02817, 7.5, 0.001218203308722143, 0.610778437, 0.780969022, 0.130526192, 0
43.09859, 7.5, 0.001218203308722143, 0.677410476, 0.72393229, 0.130526192, 0
48.16901, 7.5, 0.001218203308722143, 0.73874086, 0.661229805, 0.130526192, 0
53.23944, 7.5, 0.001218203308722143, 0.794289595, 0.593352301, 0.130526192, 0
58.30986, 7.5, 0.001218203308722143, 0.843621937, 0.52083101, 0.130526192, 0
