
# azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance[W/m2]
2.5, 2.5, 0.001210496427050808, 0.043577871, 0.998097349, 0.043619387, 0.22720711446697314
7.5, 2.5, 0.001210496427050808, 0.13040196, 0.990501226, 0.043619387, 0.23125383112888773
12.5, 2.5, 0.001210496427050808, 0.216233611, 0.97536679, 0.043619387, 0.23652271435575878
17.5, 2.5, 0.001210496427050808, 0.300419594, 0.952809224, 0.043619387, 0.24315914229373942
22.5, 2.5, 0.001210496427050808, 0.382319203, 0.923000204, 0.043619387, 0.2513164939925258
27.5, 2.5, 0.001210496427050808, 0.461309131, 0.886166595, 0.043619387, 0.2611513304858107
32.5, 2.5, 0.001210496427050808, 0.536788218, 0.842588724, 0.043619387, 0.27281345332234197
37.5, 2.5, 0.001210496427050808, 0.608182023, 0.792598244, 0.043619387, 0.2864285939491264
42.5, 2.5, 0.001210496427050808, 0.674947195, 0.736575612, 0.043619387, 0.30207130910261903
47.5, 2.5, 0.001210496427050808, 0.736575612, 0.674947195, 0.043619387, 0.31972608208315295
52.5, 2.5, 0.001210496427050808, 0.792598244, 0.608182023, 0.043619387, 0.3392362422441073
57.5, 2.5, 0.001210496427050808, 0.842588724, 0.536788218, 0.043619387, 0.36024387890950654
62.5, 2.5, 0.001210496427050808, 0.886166595, 0.461309131, 0.043619387, 0.3821300965479395
67.5, 2.5, 0.001210496427050808, 0.923000204, 0.382319203, 0.043619387, 0.4039735221479028
72.5, 2.5, 0.001210496427050808, 0.952809224, 0.300419594, 0.043619387, 0.424553532310649
77.5, 2.5, 0.001210496427050808, 0.97536679, 0.216233611, 0.043619387, 0.44242736271681954
82.5, 2.5, 0.001210496427050808, 0.990501226, 0.13040196, 0.043619387, 0.456098586683439
87.5, 2.5, 0.001210496427050808, 0.998097349, 0.043577871, 0.043619387, 0.4642628907769492
92.5, 2.5, 0.001210496427050808, 0.998097349, -0.043577871, 0.043619387, 0.46607309844492195
97.5, 2.5, 0.001210496427050808, 0.990501226, -0.13040196, 0.043619387, 0.46133432396463464
102.5, 2.5, 0.001210496427050808, 0.97536679, -0.216233611, 0.043619387, 0.4505513005826973
107.5, 2.5, 0.001210496427050808, 0.952809224, -0.300419594, 0.043619387, 0.43480766000248633
112.5, 2.5, 0.001210496427050808, 0.923000204, -0.382319203, 0.043619387, 0.41552776615085296
117.5, 2.5, 0.001210496427050808, 0.886166595, -0.461309131, 0.043619387, 0.39421049792633306
122.5, 2.5, 0.001210496427050808, 0.842588724, -0.536788218, 0.043619387, 0.3722138067784355
127.5, 2.5, 0.001210496427050808, 0.792598244, -0.608182023, 0.043619387, 0.350628005246898
132.5, 2.5, 0.001210496427050808, 0.736575612, -0.674947195, 0.043619387, 0.3302352378505067
137.5, 2.5, 0.001210496427050808, 0.674947195, -0.736575612, 0.043619387, 0.31153007844676195
142.5, 2.5, 0.001210496427050808, 0.608182023, -0.792598244, 0.043619387, 0.29477205985432203
147.5, 2.5, 0.001210496427050808, 0.536788218, -0.842588724, 0.043619387, 0.28004723530320746
152.5, 2.5, 0.001210496427050808, 0.461309131, -0.886166595, 0.043619387, 0.2673249305473486
