
# azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance[W/m2]
2.5, 2.5, 0.001210496427050808, 0.043577871, 0.998097349, 0.043619387, 0.256337908911397
7.5, 2.5, 0.001210496427050808, 0.13040196, 0.990501226, 0.043619387, 0.257530562332345
12.5, 2.5, 0.001210496427050808, 0.216233611, 0.97536679, 0.043619387, 0.25973401814366115
17.5, 2.5, 0.001210496427050808, 0.300419594, 0.952809224, 0.043619387, 0.26300184882469546
22.5, 2.5, 0.001210496427050808, 0.382319203, 0.923000204, 0.043619387, 0.2673703554002283
27.5, 2.5, 0.001210496427050808, 0.461309131, 0.886166595, 0.043619387, 0.27285695791253334
32.5, 2.5, 0.001210496427050808, 0.536788218, 0.842588724, 0.043619387, 0.27945790082119243
37.5, 2.5, 0.001210496427050808, 0.608182023, 0.792598244, 0.043619387, 0.287144908741971
42.5, 2.5, 0.001210496427050808, 0.674947195, 0.736575612, 0.043619387, 0.2958604748765548
47.5, 2.5, 0.001210496427050808, 0.736575612, 0.674947195, 0.043619387, 0.30551162467423426
52.5, 2.5, 0.001210496427050808, 0.792598244, 0.608182023, 0.043619387, 0.3159623182591845
57.5, 2.5, 0.001210496427050808, 0.842588724, 0.536788218, 0.043619387, 0.32702517250645763
62.5, 2.5, 0.001210496427050808, 0.886166595, 0.461309131, 0.043619387, 0.3384538912290201
67.5, 2.5, 0.001210496427050808, 0.923000204, 0.382319203, 0.043619387, 0.34993859935858235
72.5, 2.5, 0.001210496427050808, 0.952809224, 0.300419594, 0.043619387, 0.3611069664877334
77.5, 2.5, 0.001210496427050808, 0.97536679, 0.216233611, 0.043619387, 0.3715342190392496
82.5, 2.5, 0.001210496427050808, 0.990501226, 0.13040196, 0.043619387, 0.38076444771131956
87.5, 2.5, 0.001210496427050808, 0.998097349, 0.043577871, 0.043619387, 0.3883437000104901
92.5, 2.5, 0.001210496427050808, 0.998097349, -0.043577871, 0.043619387, 0.39386228677688573
97.5, 2.5, 0.001210496427050808, 0.990501226, -0.13040196, 0.043619387, 0.3970002460968448
102.5, 2.5, 0.001210496427050808, 0.97536679, -0.216233611, 0.043619387, 0.397567313466328
107.5, 2.5, 0.001210496427050808, 0.952809224, -0.300419594, 0.043619387, 0.3955284533941602
112.5, 2.5, 0.001210496427050808, 0.923000204, -0.382319203, 0.043619387, 0.39100870022091067
117.5, 2.5, 0.001210496427050808, 0.886166595, -0.461309131, 0.043619387, 0.38427607998780355
122.5, 2.5, 0.001210496427050808, 0.842588724, -0.536788218, 0.043619387, 0.37570688658109824
127.5, 2.5, 0.001210496427050808, 0.792598244, -0.608182023, 0.043619387, 0.3657414524445934
132.5, 2.5, 0.001210496427050808, 0.736575612, -0.674947195, 0.043619387, 0.35483954094912207
137.5, 2.5, 0.001210496427050808, 0.674947195, -0.736575612, 0.043619387, 0.3434427394395343
