
# azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance[W/m2]
2.5, 2.5, 0.001210496427050808, 0.043577871, 0.998097349, 0.043619387, 0.2601983487089275
7.5, 2.5, 0.001210496427050808, 0.13040196, 0.990501226, 0.043619387, 0.2636401959702212
12.5, 2.5, 0.001210496427050808, 0.216233611, 0.97536679, 0.043619387, 0.26829296927978086
17.5, 2.5, 0.001210496427050808, 0.300419594, 0.952809224, 0.043619387, 0.27398021622070345
22.5, 2.5, 0.001210496427050808, 0.382319203, 0.923000204, 0.043619387, 0.2804972074978605
27.5, 2.5, 0.001210496427050808, 0.461309131, 0.886166595, 0.043619387, 0.28761688490941306
32.5, 2.5, 0.001210496427050808, 0.536788218, 0.842588724, 0.043619387, 0.2950965647545409
37.5, 2.5, 0.001210496427050808, 0.608182023, 0.792598244, 0.043619387, 0.30268518097368646
42.5, 2.5, 0.001210496427050808, 0.674947195, 0.736575612, 0.043619387, 0.3101308349359646
47.5, 2.5, 0.001210496427050808, 0.736575612, 0.674947195, 0.043619387, 0.31718841000360454
52.5, 2.5, 0.001210496427050808, 0.792598244, 0.608182023, 0.043619387, 0.3236270083451097
57.5, 2.5, 0.001210496427050808, 0.842588724, 0.536788218, 0.043619387, 0.3292369744946972
62.5, 2.5, 0.001210496427050808, 0.886166595, 0.461309131, 0.043619387, 0.33383628438283064
67.5, 2.5, 0.001210496427050808, 0.923000204, 0.382319203, 0.043619387, 0.33727609941872166
72.5, 2.5, 0.001210496427050808, 0.952809224, 0.300419594, 0.043619387, 0.33944531199826
77.5, 2.5, 0.001210496427050808, 0.97536679, 0.216233611, 0.043619387, 0.3402739407163997
82.5, 2.5, 0.001210496427050808, 0.990501226, 0.13040196, 0.043619387, 0.33973526963060124
87.5, 2.5, 0.001210496427050808, 0.998097349, 0.043577871, 0.043619387, 0.33784666508882716
92.5, 2.5, 0.001210496427050808, 0.998097349, -0.043577871, 0.043619387, 0.33466904475220105
97.5, 2.5, 0.001210496427050808, 0.990501226, -0.13040196, 0.043619387, 0.33030501530295564
102.5, 2.5, 0.001210496427050808, 0.97536679, -0.216233611, 0.043619387, 0.32489573670527533
107.5, 2.5, 0.001210496427050808, 0.952809224, -0.300419594, 0.043619387, 0.31861661056669427
112.5, 2.5, 0.001210496427050808, 0.923000204, -0.382319203, 0.043619387, 0.3116719269665586
117.5, 2.5, 0.001210496427050808, 0.886166595, -0.461309131, 0.043619387, 0.30428863699221004
122.5, 2.5, 0.001210496427050808, 0.842588724, -0.536788218, 0.043619387, 0.2967094461766137
127.5, 2.5, 0.001210496427050808, 0.792598244, -0.608182023, 0.043619387, 0.28918544621172526
132.5, 2.5, 0.001210496427050808, 0.736575612, -0.674947195, 0.043619387, 0.28196851800016914
137.5, 2.5, 0.001210496427050808, 0.674947195, -0.736575612, 0.043619387, 0.2753037477076113
142.5, 2.5, 0.001210496427050808, 0.608182023, -0.792598244, 0.043619387, 0.26942209849123666
147.5, 2.5, 0.001210496427050808, 0.536788218, -0.842588724, 0.043619387, 0.26453357356006496
152.5, 2.5, 0.001210496427050808, 0.461309131, -0.886166595, 0.043619387, 0.26082109071240467
157.5, 2.5, 0.001210496427050808, 0.382319203, -0.923000204, 0.043619387, 0.2584352639486032
162.5, 2.5, 0.001210496427050808, 0.300419594, -0.952809224, 0.043619387, 0.25749025347205035
167.5, 2.5, 0.001210496427050808, 0.216233611, -0.97536679, 0.043619387, 0.2580608004941136
172.5, 2.5, 0.001210496427050808, 0.13040196, -0.990501226, 0.043619387, 0.2601805068102704
177.5, 2.5, 0.001210496427050808, 0.043577871, -0.998097349, 0.043619387, 0.26384135046469726
182.5, 2.5, 0.001210496427050808, -0.043577871, -0.998097349, 0.043619387, 0.26899434837796504
187.5, 2.5, 0.001210496427050808, -0.13040196, -0.990501226, 0.043619387, 0.2755511874341015
192.5, 2.5, 0.001210496427050808, -0.216233611, -0.97536679, 0.043619387, 0.28338655466901136
197.5, 2.5, 0.001210496427050808, -0.300419594, -0.952809224, 0.043619387, 0.2923408197663225
202.5, 2.5, 0.001210496427050808, -0.382319203, -0.923000204, 0.043619387, 0.3022226842105597
207.5, 2.5, 0.001210496427050808, -0.461309131, -0.886166595, 0.043619387, 0.31281144768602037
212.5, 2.5, 0.001210496427050808, -0.536788218, -0.842588724, 0.043619387, 0.32385869759685904
217.5, 2.5, 0.001210496427050808, -0.608182023, -0.792598244, 0.043619387, 0.33508953984017426
222.5, 2.5, 0.001210496427050808, -0.674947195, -0.736575612, 0.043619387, 0.3462039631060637
227.5, 2.5, 0.001210496427050808, -0.736575612, -0.674947195, 0.043619387, 0.3568794979665583
232.5, 2.5, 0.001210496427050808, -0.792598244, -0.608182023, 0.043619387, 0.3667768203817031
237.5, 2.5, 0.001210496427050808, -0.842588724, -0.536788218, 0.043619387, 0.37555007201261903
242.5, 2.5, 0.001210496427050808, -0.886166595, -0.461309131, 0.043619387, 0.3828631102994242
247.5, 2.5, 0.001210496427050808, -0.923000204, -0.382319203, 0.043619387, 0.38841148939921305
252.5, 2.5, 0.001210496427050808, -0.952809224, -0.300419594, 0.043619387, 0.3919479082426248
257.5, 2.5, 0.001210496427050808, -0.97536679, -0.216233611, 0.043619387, 0.3933068255359951
262.5, 2.5, 0.001210496427050808, -0.990501226, -0.13040196, 0.043619387, 0.3924229135995257
267.5, 2.5, 0.001210496427050808, -0.998097349, -0.043577871, 0.043619387, 0.38933877522605753
272.5, 2.5, 0.001210496427050808, -0.998097349, 0.043577871, 0.043619387, 0.38419988339305255
277.5, 2.5, 0.001210496427050808, -0.990501226, 0.13040196, 0.043619387, 0.3772380896245926
282.5, 2.5, 0.001210496427050808, -0.97536679, 0.216233611, 0.043619387, 0.3687478684333475
