azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance
332.5, 2.5, 0.001210496427050808, -0.461309131, 0.886166595, 0.043619387, 0.4190505054270784
337.5, 2.5, 0.001210496427050808, -0.382319203, 0.923000204, 0.043619387, 0.4150806904368042
342.5, 2.5, 0.001210496427050808, -0.300419594, 0.952809224, 0.043619387, 0.4066792811609491
347.5, 2.5, 0.001210496427050808, -0.216233611, 0.97536679, 0.043619387, 0.3941106264973693
352.5, 2.5, 0.001210496427050808, -0.13040196, 0.990501226, 0.043619387, 0.3777707615898737
357.5, 2.5, 0.001210496427050808, -0.043577871, 0.998097349, 0.043619387, 0.35817563627416704
2.53521, 7.5, 0.001218203308722143, 0.043854924, 0.990474461, 0.130526192, 0.27937103473495606
7.60563, 7.5, 0.001218203308722143, 0.131221549, 0.982722656, 0.130526192, 0.25890466337313756
12.67606, 7.5, 0.001218203308722143, 0.217561187, 0.967279713, 0.130526192, 0.23759027957019663
17.74648, 7.5, 0.001218203308722143, 0.302198113, 0.944266495, 0.130526192, 0.21618198951314363
22.8169, 7.5, 0.001218203308722143, 0.38446993, 0.913863111, 0.130526192, 0.19545032809329013
27.88732, 7.5, 0.001218203308722143, 0.463732748, 0.87630751, 0.130526192, 0.1761593929250549
32.95775, 7.5, 0.001218203308722143, 0.539366228, 0.831893614, 0.130526192, 0.15904459007406266
38.02817, 7.5, 0.001218203308722143, 0.610778437, 0.780969022, 0.130526192, 0.1447917952909994
43.09859, 7.5, 0.001218203308722143, 0.677410476, 0.72393229, 0.130526192, 0.13401871044564076
48.16901, 7.5, 0.001218203308722143, 0.73874086, 0.661229805, 0.130526192, 0.12725914707430858
53.23944, 7.5, 0.001218203308722143, 0.794289595, 0.593352301, 0.130526192, 0.12495089650792983
58.30986, 7.5, 0.001218203308722143, 0.843621937, 0.52083101, 0.130526192, 0.12742774662552606
63.38028, 7.5, 0.001218203308722143, 0.886351793, 0.444233511, 0.130526192, 0.13491607386957413
68.4507, 7.5, 0.001218203308722143, 0.922144745, 0.364159282, 0.130526192, 0.14753626585730378
73.52113, 7.5, 0.001218203308722143, 0.950720664, 0.281235012, 0.130526192, 0.16530899641463884
78.59155, 7.5, 0.001218203308722143, 0.971855905, 0.196109698, 0.130526192, 0.18816604888289537
