
# azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, luminance[cd/m2]
0.6, 0.6, 0.00006980806627785664, 0.01047121, 0.999890342, 0.010471784, 1.5640785520394966
1.8, 0.6, 0.00006980806627785664, 0.031409037, 0.999451757, 0.010471784, 1.5685456774679263
3.0, 0.6, 0.00006980806627785664, 0.052333087, 0.998574779, 0.010471784, 1.5742401160963984
4.2, 0.6, 0.00006980806627785664, 0.073234181, 0.997259794, 0.010471784, 1.581193155908108
5.4, 0.6, 0.00006980806627785664, 0.094103153, 0.995507377, 0.010471784, 1.5894373978996295
6.6, 0.6, 0.00006980806627785664, 0.114930848, 0.993318298, 0.010471784, 1.5990069993304623
7.8, 0.6, 0.00006980806627785664, 0.135708131, 0.990693517, 0.010471784, 1.6099379398683045
9.0, 0.6, 0.00006980806627785664, 0.156425888, 0.987634185, 0.010471784, 1.6222683123468495
10.2, 0.6, 0.00006980806627785664, 0.177075031, 0.984141644, 0.010471784, 1.6360386399954672
11.4, 0.6, 0.00006980806627785664, 0.197646503, 0.980217426, 0.010471784, 1.6512922221551873
12.6, 0.6, 0.00006980806627785664, 0.21813128, 0.975863252, 0.010471784, 1.6680755106639769
13.8, 0.6, 0.00006980806627785664, 0.238520379, 0.971081032, 0.010471784, 1.6864385192775686
15.0, 0.6, 0.00006980806627785664, 0.258804854, 0.965872864, 0.010471784, 1.706435268691224
16.2, 0.6, 0.00006980806627785664, 0.278975809, 0.960241032, 0.010471784, 1.7281242699441945
17.4, 0.6, 0.00006980806627785664, 0.299024396, 0.954188007, 0.010471784, 1.751569049223649
18.6, 0.6, 0.00006980806627785664, 0.318941821, 0.947716443, 0.010471784, 1.7768387173400617
19.8, 0.6, 0.00006980806627785664, 0.338719347, 0.94082918, 0.010471784, 1.8040085874231209
21.0, 0.6, 0.00006980806627785664, 0.3583483, 0.933529238, 0.010471784, 1.833160844687971
22.2, 0.6, 0.00006980806627785664, 0.37782007, 0.925819819, 0.010471784, 1.8643852724479164
23.4, 0.6, 0.00006980806627785664, 0.397126115, 0.917704305, 0.010471784, 1.8977800389037247
24.6, 0.6, 0.00006980806627785664, 0.416257967, 0.909186255, 0.010471784, 1.9334525496235784
25.8, 0.6, 0.00006980806627785664, 0.435207235, 0.900269406, 0.010471784, 1.9715203710439118
27.0, 0.6, 0.00006980806627785664, 0.453965607, 0.89095767, 0.010471784, 2.0121122307724533
28.2, 0.6, 0.00006980806627785664, 0.472524855, 0.88125513, 0.010471784, 2.0553691009634543
29.4, 0.6, 0.00006980806627785664, 0.490876837, 0.871166042, 0.010471784, 2.101445371564266
30.6, 0.6, 0.00006980806627785664, 0.509013505, 0.860694832, 0.010471784, 2.150510120805231
31.8, 0.6, 0.00006980806627785664, 0.526926902, 0.849846093, 0.010471784, 2.2027484909245594
33.0, 0.6, 0.00006980806627785664, 0.544609172, 0.838624583, 0.010471784, 2.2583631777898625
34.2, 0.6, 0.00006980806627785664, 0.562052558, 0.827035225, 0.010471784, 2.3175760438020268
35.4, 0.6, 0.00006980806627785664, 0.57924941, 0.815083102, 0.010471784, 2.3806298642487422
36.6, 0.6, 0.00006980806627785664, 0.596192184, 0.802773456, 0.010471784, 2.4477902181181976
37.8, 0.6, 0.00006980806627785664, 0.612873448, 0.790111688, 0.010471784, 2.5193475352920216
39.0, 0.6, 0.00006980806627785664, 0.629285885, 0.77710335, 0.010471784, 2.595619313014348
40.2, 0.6, 0.00006980806627785664, 0.645422297, 0.763754149, 0.010471784, 2.676952515584643
41.4, 0.6, 0.00006980806627785664, 0.661275605, 0.750069941, 0.010471784, 2.7637261723489916
42.6, 0.6, 0.00006980806627785664, 0.676838856, 0.736056726, 0.010471784, 2.8563541902707703
43.8, 0.6, 0.00006980806627785664, 0.692105223, 0.721720654, 0.010471784, 2.955288398649112
45.0, 0.6, 0.00006980806627785664, 0.70706801, 0.70706801, 0.010471784, 3.061021844923064
46.2, 0.6, 0.00006980806627785664, 0.721720654, 0.692105223, 0.010471784, 3.1740923619498767
47.4, 0.6, 0.00006980806627785664, 0.736056726, 0.676838856, 0.010471784, 3.2950864286736525
48.6, 0.6, 0.00006980806627785664, 0.750069941, 0.661275605, 0.010471784, 3.4246433476986535
49.8, 0.6, 0.00006980806627785664, 0.763754149, 0.645422297, 0.010471784, 3.563459764936716
51.0, 0.6, 0.00006980806627785664, 0.77710335, 0.629285885, 0.010471784, 3.712294558190953
52.2, 0.6, 0.00006980806627785664, 0.790111688, 0.612873448, 0.010471784, 3.871974123237365
53.4, 0.6, 0.00006980806627785664, 0.802773456, 0.596192184, 0.010471784, 4.043398087626833
54.6, 0.6, 0.00006980806627785664, 0.815083102, 0.57924941, 0.010471784, 4.227545483985789
55.8, 0.6, 0.00006980806627785664, 0.827035225, 0.562052558, 0.010471784, 4.425481415948486
57.0, 0.6, 0.00006980806627785664, 0.838624583, 0.544609172, 0.010471784, 4.638364250867499
58.2, 0.6, 0.00006980806627785664, 0.849846093, 0.526926902, 0.010471784, 4.867453373920513
59.4, 0.6, 0.00006980806627785664, 0.860694832, 0.509013505, 0.010471784, 5.114117537868403
60.6, 0.6, 0.00006980806627785664, 0.871166042, 0.490876837, 0.010471784, 5.379843841095615
61.8, 0.6, 0.00006980806627785664, 0.88125513, 0.472524855, 0.010471784, 5.666247363054235
63.0, 0.6, 0.00006980806627785664, 0.89095767, 0.453965607, 0.010471784, 5.975081479911729
64.2, 0.6, 0.00006980806627785664, 0.900269406, 0.435207235, 0.010471784, 6.30824887268373
65.4, 0.6, 0.00006980806627785664, 0.909186255, 0.416257967, 0.010471784, 6.667813223318807
66.6, 0.6, 0.00006980806627785664, 0.917704305, 0.397126115, 0.010471784, 7.056011567868251
67.8, 0.6, 0.00006980806627785664, 0.925819819, 0.37782007, 0.010471784, 7.475267234990882
69.0, 0.6, 0.00006980806627785664, 0.933529238, 0.3583483, 0.010471784, 7.928203234626957
70.2, 0.6, 0.00006980806627785664, 0.94082918, 0.338719347, 0.010471784, 8.417655862807955
71.4, 0.6, 0.00006980806627785664, 0.947716443, 0.318941821, 0.010471784, 8.94668813289333
72.6, 0.6, 0.00006980806627785664, 0.954188007, 0.299024396, 0.010471784, 9.518602394904491
73.8, 0.6, 0.00006980806627785664, 0.960241032, 0.278975809, 0.010471784, 10.13695110028282
75.0, 0.6, 0.00006980806627785664, 0.965872864, 0.258804854, 0.010471784, 10.805543997095473
76.2, 0.6, 0.00006980806627785664, 0.971081032, 0.238520379, 0.010471784, 11.528448893182773
77.4, 0.6, 0.00006980806627785664, 0.975863252, 0.21813128, 0.010471784, 12.309981105165749
78.6, 0.6, 0.00006980806627785664, 0.980217426, 0.197646503, 0.010471784, 13.154673028348487
79.8, 0.6, 0.00006980806627785664, 0.984141644, 0.177075031, 0.010471784, 14.06720826420881
81.0, 0.6, 0.00006980806627785664, 0.987634185, 0.156425888, 0.010471784, 15.05229079275357
82.2, 0.6, 0.00006980806627785664, 0.990693517, 0.135708131, 0.010471784, 16.114390279401956
83.4, 0.6, 0.00006980806627785664, 0.993318298, 0.114930848, 0.010471784, 17.25723847081892
84.6, 0.6, 0.00006980806627785664, 0.995507377, 0.094103153, 0.010471784, 18.482790952419574
85.8, 0.6, 0.00006980806627785664, 0.997259794, 0.073234181, 0.010471784, 19.788941155822496
87.0, 0.6, 0.00006980806627785664, 0.998574779, 0.052333087, 0.010471784, 21.16401191333558
88.2, 0.6, 0.00006980806627785664, 0.999451757, 0.031409037, 0.010471784, 22.571903330369977
89.4, 0.6, 0.00006980806627785664, 0.999890342, 0.01047121, 0.010471784, 23.907513192249223
90.6, 0.6, 0.00006980806627785664, 0.999890342, -0.01047121, 0.010471784, 24.872512335753672
91.8, 0.6, 0.00006980806627785664, 0.999451757, -0.031409037, 0.010471784, 24.92480818783007
93.0, 0.6, 0.00006980806627785664, 0.998574779, -0.052333087, 0.010471784, 24.022251831521903
94.2, 0.6, 0.00006980806627785664, 0.997259794, -0.073234181, 0.010471784, 22.704383773975977
95.4, 0.6, 0.00006980806627785664, 0.995507377, -0.094103153, 0.010471784, 21.29708926725719
96.6, 0.6, 0.00006980806627785664, 0.993318298, -0.114930848, 0.010471784, 19.916757196162045
97.8, 0.6, 0.00006980806627785664, 0.990693517, -0.135708131, 0.010471784, 18.603341223013015
99.0, 0.6, 0.00006980806627785664, 0.987634185, -0.156425888, 0.010471784, 17.369957897504957
100.2, 0.6, 0.00006980806627785664, 0.984141644, -0.177075031, 0.010471784, 16.219306002491575
101.4, 0.6, 0.00006980806627785664, 0.980217426, -0.197646503, 0.010471784, 15.149687760280864
102.6, 0.6, 0.00006980806627785664, 0.975863252, -0.21813128, 0.010471784, 14.157483196401934
103.8, 0.6, 0.00006980806627785664, 0.971081032, -0.238520379, 0.010471784, 13.238265539178764
105.0, 0.6, 0.00006980806627785664, 0.965872864, -0.258804854, 0.010471784, 12.387339436603186
106.2, 0.6, 0.00006980806627785664, 0.960241032, -0.278975809, 0.010471784, 11.600012364788801
107.4, 0.6, 0.00006980806627785664, 0.954188007, -0.299024396, 0.010471784, 10.87173401646498
108.6, 0.6, 0.00006980806627785664, 0.947716443, -0.318941821, 0.010471784, 10.19816676275129
109.8, 0.6, 0.00006980806627785664, 0.94082918, -0.338719347, 0.010471784, 9.575218627309978
111.0, 0.6, 0.00006980806627785664, 0.933529238, -0.3583483, 0.010471784, 8.999055278007399
112.2, 0.6, 0.00006980806627785664, 0.925819819, -0.37782007, 0.010471784, 8.466100085718852
113.4, 0.6, 0.00006980806627785664, 0.917704305, -0.397126115, 0.010471784, 7.973027393018091
114.6, 0.6, 0.00006980806627785664, 0.909186255, -0.416257967, 0.010471784, 7.5167520008841775
115.8, 0.6, 0.00006980806627785664, 0.900269406, -0.435207235, 0.010471784, 7.094416672483096
117.0, 0.6, 0.00006980806627785664, 0.89095767, -0.453965607, 0.010471784, 6.703378746635276
118.2, 0.6, 0.00006980806627785664, 0.88125513, -0.472524855, 0.010471784, 6.341196529684036
119.4, 0.6, 0.00006980806627785664, 0.871166042, -0.490876837, 0.010471784, 6.005615874335413
120.6, 0.6, 0.00006980806627785664, 0.860694832, -0.509013505, 0.010471784, 5.6945571914047015
121.8, 0.6, 0.00006980806627785664, 0.849846093, -0.526926902, 0.010471784, 5.406103037235904
123.0, 0.6, 0.00006980806627785664, 0.838624583, -0.544609172, 0.010471784, 5.138486353435949
124.2, 0.6, 0.00006980806627785664, 0.827035225, -0.562052558, 0.010471784, 4.8900793929464905
125.4, 0.6, 0.00006980806627785664, 0.815083102, -0.57924941, 0.010471784, 4.65938333901328
126.6, 0.6, 0.00006980806627785664, 0.802773456, -0.596192184, 0.010471784, 4.4450186060563235
127.8, 0.6, 0.00006980806627785664, 0.790111688, -0.612873448, 0.010471784, 4.245715800432093
129.0, 0.6, 0.00006980806627785664, 0.77710335, -0.629285885, 0.010471784, 4.060307312427717
130.2, 0.6, 0.00006980806627785664, 0.763754149, -0.645422297, 0.010471784, 3.8877195070962736
131.4, 0.6, 0.00006980806627785664, 0.750069941, -0.661275605, 0.010471784, 3.7269654797700773
132.6, 0.6, 0.00006980806627785664, 0.736056726, -0.676838856, 0.010471784, 3.5771383416270477
133.8, 0.6, 0.00006980806627785664, 0.721720654, -0.692105223, 0.010471784, 3.437405001091651
135.0, 0.6, 0.00006980806627785664, 0.70706801, -0.70706801, 0.010471784, 3.3070004078240878
136.2, 0.6, 0.00006980806627785664, 0.692105223, -0.721720654, 0.010471784, 3.185222227380468
137.4, 0.6, 0.00006980806627785664, 0.676838856, -0.736056726, 0.010471784, 3.07142591616808
138.6, 0.6, 0.00006980806627785664, 0.661275605, -0.750069941, 0.010471784, 2.9650201679740764
139.8, 0.6, 0.00006980806627785664, 0.645422297, -0.763754149, 0.010471784, 2.86546270504388
141.0, 0.6, 0.00006980806627785664, 0.629285885, -0.77710335, 0.010471784, 2.7722563883803577
142.2, 0.6, 0.00006980806627785664, 0.612873448, -0.790111688, 0.010471784, 2.6849456235948277
143.4, 0.6, 0.00006980806627785664, 0.596192184, -0.802773456, 0.010471784, 2.6031130402447156
144.6, 0.6, 0.00006980806627785664, 0.57924941, -0.815083102, 0.010471784, 2.526376424127843
145.8, 0.6, 0.00006980806627785664, 0.562052558, -0.827035225, 0.010471784, 2.454385883461185
147.0, 0.6, 0.00006980806627785664, 0.544609172, -0.838624583, 0.010471784, 2.3868212312493213
148.2, 0.6, 0.00006980806627785664, 0.526926902, -0.849846093, 0.010471784, 2.323389567442996
149.4, 0.6, 0.00006980806627785664, 0.509013505, -0.860694832, 0.010471784, 2.2638230457020723
150.6, 0.6, 0.00006980806627785664, 0.490876837, -0.871166042, 0.010471784, 2.207876810711658
151.8, 0.6, 0.00006980806627785664, 0.472524855, -0.88125513, 0.010471784, 2.1553270930580197
153.0, 0.6, 0.00006980806627785664, 0.453965607, -0.89095767, 0.010471784, 2.1059694496554315
154.2, 0.6, 0.00006980806627785664, 0.435207235, -0.900269406, 0.010471784, 2.059617138630149
155.4, 0.6, 0.00006980806627785664, 0.416257967, -0.909186255, 0.010471784, 2.0160996184168813
156.6, 0.6, 0.00006980806627785664, 0.397126115, -0.917704305, 0.010471784, 1.975261161610451
157.8, 0.6, 0.00006980806627785664, 0.37782007, -0.925819819, 0.010471784, 1.9369595748446689
159.0, 0.6, 0.00006980806627785664, 0.3583483, -0.933529238, 0.010471784, 1.9010650166453575
160.2, 0.6, 0.00006980806627785664, 0.338719347, -0.94082918, 0.010471784, 1.8674589058288928
161.4, 0.6, 0.00006980806627785664, 0.318941821, -0.947716443, 0.010471784, 1.836032913594613
162.6, 0.6, 0.00006980806627785664, 0.299024396, -0.954188007, 0.010471784, 1.8066880329927404
163.8, 0.6, 0.00006980806627785664, 0.278975809, -0.960241032, 0.010471784, 1.7793337199417685
165.0, 0.6, 0.00006980806627785664, 0.258804854, -0.965872864, 0.010471784, 1.7538871004238172
166.2, 0.6, 0.00006980806627785664, 0.238520379, -0.971081032, 0.010471784, 1.7302722389058591
167.4, 0.6, 0.00006980806627785664, 0.21813128, -0.975863252, 0.010471784, 1.7084194634215657
168.6, 0.6, 0.00006980806627785664, 0.197646503, -0.980217426, 0.010471784, 1.6882647431052746
169.8, 0.6, 0.00006980806627785664, 0.177075031, -0.984141644, 0.010471784, 1.6697491142984537
171.0, 0.6, 0.00006980806627785664, 0.156425888, -0.987634185, 0.010471784, 1.6528181516520868
172.2, 0.6, 0.00006980806627785664, 0.135708131, -0.990693517, 0.010471784, 1.6374214809276875
173.4, 0.6, 0.00006980806627785664, 0.114930848, -0.993318298, 0.010471784, 1.6235123304568344
174.6, 0.6, 0.00006980806627785664, 0.094103153, -0.995507377, 0.010471784, 1.6110471184560053
175.8, 0.6, 0.00006980806627785664, 0.073234181, -0.997259794, 0.010471784, 1.5999850736115437
177.0, 0.6, 0.00006980806627785664, 0.052333087, -0.998574779, 0.010471784, 1.5902878865503218
178.2, 0.6, 0.00006980806627785664, 0.031409037, -0.999451757, 0.010471784, 1.581919389996363
179.4, 0.6, 0.00006980806627785664, 0.01047121, -0.999890342, 0.010471784, 1.5748452655836114
180.6, 0.6, 0.00006980806627785664, -0.01047121, -0.999890342, 0.010471784, 1.5690327754513285
181.8, 0.6, 0.00006980806627785664, -0.031409037, -0.999451757, 0.010471784, 1.5644505168923017
183.0, 0.6, 0.00006980806627785664, -0.052333087, -0.998574779, 0.010471784, 1.5610681984561816
184.2, 0.6, 0.00006980806627785664, -0.073234181, -0.997259794, 0.010471784, 1.5588564360316746
185.4, 0.6, 0.00006980806627785664, -0.094103153, -0.995507377, 0.010471784, 1.5577865675428977
